Code,Area,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
E09000001,City of London,x,x,x,x,x,x
E09000002,Barking and Dagenham,7.49,7.6,7.39,7.57,7.81,7.74
E09000003,Barnet,7.7,7.74,7.7,7.92,7.92,7.83
E09000004,Bexley,7.68,7.75,7.79,7.8,7.79,7.82
E09000005,Brent,7.2,7.35,7.6,7.45,7.61,7.68
E09000006,Bromley,7.84,7.8,7.74,7.93,7.81,7.65
E09000007,Camden,7.35,7.35,7.41,7.48,7.51,7.71
E09000008,Croydon,7.57,7.46,7.64,7.71,7.73,7.86
E09000009,Ealing,7.62,7.47,7.59,7.83,7.84,7.7
E09000010,Enfield,7.57,7.59,7.53,7.71,7.6,7.81
E09000011,Greenwich,7.36,7.53,7.68,7.67,7.64,7.68
E09000012,Hackney,7.38,7.38,7.31,7.57,7.4,7.47
E09000013,Hammersmith and Fulham,7.53,7.56,7.56,7.68,7.81,7.79
E09000014,Haringey,7.37,7.51,7.62,7.63,7.44,7.67
E09000015,Harrow,7.33,7.54,7.59,7.58,7.79,7.71
E09000016,Havering,7.69,7.64,7.72,7.74,7.87,7.9
E09000017,Hillingdon,7.61,7.65,7.85,7.85,7.65,7.94
E09000018,Hounslow,7.49,7.53,7.6,7.78,7.73,8.04
E09000019,Islington,7.31,7.27,7.65,7.52,7.38,7.44
E09000020,Kensington and Chelsea,7.69,7.94,7.91,7.79,7.89,7.74
E09000021,Kingston upon Thames,7.66,7.43,7.74,7.75,7.85,7.9
E09000022,Lambeth,7.44,7.39,7.36,7.55,7.6,7.48
E09000023,Lewisham,7.41,7.69,7.76,7.53,7.65,7.47
E09000024,Merton,7.51,7.55,7.64,7.86,7.74,7.79
E09000025,Newham,7.34,7.5,7.62,7.85,7.92,7.64
E09000026,Redbridge,7.64,7.48,7.69,7.89,8.07,7.85
E09000027,Richmond upon Thames,7.72,7.68,7.8,7.83,7.92,7.87
E09000028,Southwark,7.56,7.59,7.76,7.7,7.66,7.59
E09000029,Sutton,7.74,7.58,7.61,7.92,7.78,7.98
E09000030,Tower Hamlets,7.14,7.56,7.6,7.64,7.71,7.69
E09000031,Waltham Forest,7.35,7.74,7.59,7.86,7.69,7.92
E09000032,Wandsworth,7.61,7.56,7.72,7.73,7.73,7.88
E09000033,Westminster,7.59,7.36,7.56,7.7,7.57,7.77
,,,,,,,
E12000001,North East,7.64,7.64,7.72,7.74,7.79,7.79
E12000002,North West,7.66,7.67,7.7,7.82,7.8,7.83
E12000003,Yorkshire and The Humber,7.69,7.7,7.72,7.82,7.85,7.9
E12000004,East Midlands,7.71,7.75,7.75,7.81,7.91,7.92
E12000005,West Midlands,7.53,7.63,7.72,7.76,7.79,7.86
E12000006,East of England,7.71,7.72,7.79,7.86,7.89,7.92
E12000007,London,7.51,7.55,7.63,7.72,7.72,7.74
E12000008,South East,7.76,7.77,7.81,7.91,7.88,7.91
E12000009,South West,7.78,7.76,7.78,7.86,7.89,7.88
,,,,,,,
E92000001,England,7.66,7.69,7.74,7.82,7.83,7.86
W92000004,Wales,7.71,7.7,7.76,7.78,7.83,7.83
S92000003,Scotland,7.68,7.7,7.74,7.84,7.82,7.81
N92000002,Northern Ireland,7.76,7.86,7.99,8.1,8,8.08
,,,,,,,
K02000001,UK,7.67,7.7,7.74,7.82,7.84,7.86
